"ID";"LOGIN";"PASSWORD_HASH";"FIRST_NAME";"LAST_NAME";"EMAIL";"ACTIVATED";"LANG_KEY";"CREATED_BY";"LAST_MODIFIED_BY"
2;"sub-1";"$2a$10$W0hhdkD2trCgPuUo4pZNkeKcIvE0tw/5mmxDQtVik9s2dFclx..n6";NULL;NULL;"sub-1@localhost";"true";"en";"admin";"admin"
3;"sub-2";"$2a$10$M3JF7z1F/tCitgUJL.eOU.EEPiFBDQ7huXoFCfDodfsNScuX8sjy.";NULL;NULL;"sub-2@localhost";"true";"en";"admin";"admin"
4;"sub-3";"$2a$10$BAydwSFZF22cEYAB29Q9C.WK9PS1Z3c8V.h0AUB9KQEb18AGeNCi2";NULL;NULL;"sub-3@localhost";"true";"en";"admin";"admin"
5;padmin;$2a$10$aIewJVA1C7hJDVYIGQSJ5.6bk/vD85tvGIJe2I52H02m2qN4HBQ9S;null;null;padmin@localhost;TRUE;en;system;system
6;padmin2;$2a$10$aIewJVA1C7hJDVYIGQSJ5.6bk/vD85tvGIJe2I52H02m2qN4HBQ9S;null;null;padmin2@localhost;TRUE;en;admin;system
7;"sub-4";"$2a$10$BAydwSFZF22cEYAB29Q9C.WK9PS1Z3c8V.h0AUB9KQEb18AGeNCi2";NULL;NULL;"sub-4@localhost";"true";"en";"admin";"admin"
8;"sub-5";"$2a$10$BAydwSFZF22cEYAB29Q9C.WK9PS1Z3c8V.h0AUB9KQEb18AGeNCi2";NULL;NULL;"sub-5@localhost";"true";"en";"admin";"admin"
9;"sub-6";"$2a$10$BAydwSFZF22cEYAB29Q9C.WK9PS1Z3c8V.h0AUB9KQEb18AGeNCi2";NULL;NULL;"sub-6@localhost";"true";"en";"admin";"admin"
10;"sub-7";"$2a$10$BAydwSFZF22cEYAB29Q9C.WK9PS1Z3c8V.h0AUB9KQEb18AGeNCi2";NULL;NULL;"sub-7@localhost";"true";"en";"admin";"admin"
11;"sub-8";"$2a$10$BAydwSFZF22cEYAB29Q9C.WK9PS1Z3c8V.h0AUB9KQEb18AGeNCi2";NULL;NULL;"sub-8@localhost";"true";"en";"admin";"admin"
12;"sub-9";"$2a$10$BAydwSFZF22cEYAB29Q9C.WK9PS1Z3c8V.h0AUB9KQEb18AGeNCi2";NULL;NULL;"sub-9@localhost";"true";"en";"admin";"admin"
13;"sub-10";"$2a$10$BAydwSFZF22cEYAB29Q9C.WK9PS1Z3c8V.h0AUB9KQEb18AGeNCi2";NULL;NULL;"sub-10@localhost";"true";"en";"admin";"admin"
14;"sub-11";"$2a$10$BAydwSFZF22cEYAB29Q9C.WK9PS1Z3c8V.h0AUB9KQEb18AGeNCi2";NULL;NULL;"sub-11@localhost";"true";"en";"admin";"admin"
15;"sub-12";"$2a$10$BAydwSFZF22cEYAB29Q9C.WK9PS1Z3c8V.h0AUB9KQEb18AGeNCi2";NULL;NULL;"sub-12@localhost";"true";"en";"admin";"admin"
16;"sub-13";"$2a$10$BAydwSFZF22cEYAB29Q9C.WK9PS1Z3c8V.h0AUB9KQEb18AGeNCi2";NULL;NULL;"sub-13@localhost";"true";"en";"admin";"admin"
17;"sub-14";"$2a$10$BAydwSFZF22cEYAB29Q9C.WK9PS1Z3c8V.h0AUB9KQEb18AGeNCi2";NULL;NULL;"sub-14@localhost";"true";"en";"admin";"admin"
18;"sub-15";"$2a$10$BAydwSFZF22cEYAB29Q9C.WK9PS1Z3c8V.h0AUB9KQEb18AGeNCi2";NULL;NULL;"sub-15@localhost";"true";"en";"admin";"admin"
19;"sub-16";"$2a$10$BAydwSFZF22cEYAB29Q9C.WK9PS1Z3c8V.h0AUB9KQEb18AGeNCi2";NULL;NULL;"sub-16@localhost";"true";"en";"admin";"admin"
20;"sub-17";"$2a$10$BAydwSFZF22cEYAB29Q9C.WK9PS1Z3c8V.h0AUB9KQEb18AGeNCi2";NULL;NULL;"sub-17@localhost";"true";"en";"admin";"admin"
21;"sub-18";"$2a$10$BAydwSFZF22cEYAB29Q9C.WK9PS1Z3c8V.h0AUB9KQEb18AGeNCi2";NULL;NULL;"sub-18@localhost";"true";"en";"admin";"admin"
22;"sub-19";"$2a$10$BAydwSFZF22cEYAB29Q9C.WK9PS1Z3c8V.h0AUB9KQEb18AGeNCi2";NULL;NULL;"sub-19@localhost";"true";"en";"admin";"admin"
23;"sub-20";"$2a$10$BAydwSFZF22cEYAB29Q9C.WK9PS1Z3c8V.h0AUB9KQEb18AGeNCi2";NULL;NULL;"sub-20@localhost";"true";"en";"admin";"admin"
24;"sub-21";"$2a$10$BAydwSFZF22cEYAB29Q9C.WK9PS1Z3c8V.h0AUB9KQEb18AGeNCi2";NULL;NULL;"sub-21@localhost";"true";"en";"admin";"admin"
25;"sub-22";"$2a$10$BAydwSFZF22cEYAB29Q9C.WK9PS1Z3c8V.h0AUB9KQEb18AGeNCi2";NULL;NULL;"sub-22@localhost";"true";"en";"admin";"admin"
26;"sub-23";"$2a$10$BAydwSFZF22cEYAB29Q9C.WK9PS1Z3c8V.h0AUB9KQEb18AGeNCi2";NULL;NULL;"sub-23@localhost";"true";"en";"admin";"admin"
27;"sub-24";"$2a$10$BAydwSFZF22cEYAB29Q9C.WK9PS1Z3c8V.h0AUB9KQEb18AGeNCi2";NULL;NULL;"sub-24@localhost";"true";"en";"admin";"admin"
28;"sub-25";"$2a$10$BAydwSFZF22cEYAB29Q9C.WK9PS1Z3c8V.h0AUB9KQEb18AGeNCi2";NULL;NULL;"sub-25@localhost";"true";"en";"admin";"admin"
29;"sub-26";"$2a$10$BAydwSFZF22cEYAB29Q9C.WK9PS1Z3c8V.h0AUB9KQEb18AGeNCi2";NULL;NULL;"sub-26@localhost";"true";"en";"admin";"admin"
30;"sub-27";"$2a$10$BAydwSFZF22cEYAB29Q9C.WK9PS1Z3c8V.h0AUB9KQEb18AGeNCi2";NULL;NULL;"sub-27@localhost";"true";"en";"admin";"admin"
31;"sub-28";"$2a$10$BAydwSFZF22cEYAB29Q9C.WK9PS1Z3c8V.h0AUB9KQEb18AGeNCi2";NULL;NULL;"sub-28@localhost";"true";"en";"admin";"admin"
32;"sub-29";"$2a$10$BAydwSFZF22cEYAB29Q9C.WK9PS1Z3c8V.h0AUB9KQEb18AGeNCi2";NULL;NULL;"sub-29@localhost";"true";"en";"admin";"admin"
33;"sub-30";"$2a$10$BAydwSFZF22cEYAB29Q9C.WK9PS1Z3c8V.h0AUB9KQEb18AGeNCi2";NULL;NULL;"sub-30@localhost";"true";"en";"admin";"admin"
34;"sub-31";"$2a$10$BAydwSFZF22cEYAB29Q9C.WK9PS1Z3c8V.h0AUB9KQEb18AGeNCi2";NULL;NULL;"sub-31@localhost";"true";"en";"admin";"admin"
35;"sub-32";"$2a$10$BAydwSFZF22cEYAB29Q9C.WK9PS1Z3c8V.h0AUB9KQEb18AGeNCi2";NULL;NULL;"sub-32@localhost";"true";"en";"admin";"admin"
36;"sub-33";"$2a$10$BAydwSFZF22cEYAB29Q9C.WK9PS1Z3c8V.h0AUB9KQEb18AGeNCi2";NULL;NULL;"sub-33@localhost";"true";"en";"admin";"admin"
37;"sub-34";"$2a$10$BAydwSFZF22cEYAB29Q9C.WK9PS1Z3c8V.h0AUB9KQEb18AGeNCi2";NULL;NULL;"sub-34@localhost";"true";"en";"admin";"admin"
38;"sub-35";"$2a$10$BAydwSFZF22cEYAB29Q9C.WK9PS1Z3c8V.h0AUB9KQEb18AGeNCi2";NULL;NULL;"sub-35@localhost";"true";"en";"admin";"admin"
39;"sub-36";"$2a$10$BAydwSFZF22cEYAB29Q9C.WK9PS1Z3c8V.h0AUB9KQEb18AGeNCi2";NULL;NULL;"sub-36@localhost";"true";"en";"admin";"admin"
40;"sub-37";"$2a$10$BAydwSFZF22cEYAB29Q9C.WK9PS1Z3c8V.h0AUB9KQEb18AGeNCi2";NULL;NULL;"sub-37@localhost";"true";"en";"admin";"admin"
41;"sub-38";"$2a$10$BAydwSFZF22cEYAB29Q9C.WK9PS1Z3c8V.h0AUB9KQEb18AGeNCi2";NULL;NULL;"sub-38@localhost";"true";"en";"admin";"admin"
42;"sub-39";"$2a$10$BAydwSFZF22cEYAB29Q9C.WK9PS1Z3c8V.h0AUB9KQEb18AGeNCi2";NULL;NULL;"sub-39@localhost";"true";"en";"admin";"admin"
43;"sub-40";"$2a$10$BAydwSFZF22cEYAB29Q9C.WK9PS1Z3c8V.h0AUB9KQEb18AGeNCi2";NULL;NULL;"sub-40@localhost";"true";"en";"admin";"admin"
44;"sub-41";"$2a$10$BAydwSFZF22cEYAB29Q9C.WK9PS1Z3c8V.h0AUB9KQEb18AGeNCi2";NULL;NULL;"sub-41@localhost";"true";"en";"admin";"admin"
45;"sub-42";"$2a$10$BAydwSFZF22cEYAB29Q9C.WK9PS1Z3c8V.h0AUB9KQEb18AGeNCi2";NULL;NULL;"sub-42@localhost";"true";"en";"admin";"admin"
46;"sub-43";"$2a$10$BAydwSFZF22cEYAB29Q9C.WK9PS1Z3c8V.h0AUB9KQEb18AGeNCi2";NULL;NULL;"sub-43@localhost";"true";"en";"admin";"admin"
47;"sub-44";"$2a$10$BAydwSFZF22cEYAB29Q9C.WK9PS1Z3c8V.h0AUB9KQEb18AGeNCi2";NULL;NULL;"sub-44@localhost";"true";"en";"admin";"admin"
48;"sub-45";"$2a$10$BAydwSFZF22cEYAB29Q9C.WK9PS1Z3c8V.h0AUB9KQEb18AGeNCi2";NULL;NULL;"sub-45@localhost";"true";"en";"admin";"admin"
49;"sub-46";"$2a$10$BAydwSFZF22cEYAB29Q9C.WK9PS1Z3c8V.h0AUB9KQEb18AGeNCi2";NULL;NULL;"sub-46@localhost";"true";"en";"admin";"admin"
50;"sub-47";"$2a$10$BAydwSFZF22cEYAB29Q9C.WK9PS1Z3c8V.h0AUB9KQEb18AGeNCi2";NULL;NULL;"sub-47@localhost";"true";"en";"admin";"admin"
51;"sub-48";"$2a$10$BAydwSFZF22cEYAB29Q9C.WK9PS1Z3c8V.h0AUB9KQEb18AGeNCi2";NULL;NULL;"sub-48@localhost";"true";"en";"admin";"admin"
52;"sub-49";"$2a$10$BAydwSFZF22cEYAB29Q9C.WK9PS1Z3c8V.h0AUB9KQEb18AGeNCi2";NULL;NULL;"sub-49@localhost";"true";"en";"admin";"admin"
